cntry,cproddat,essround,fltlnl,happy,sclmeet,inmdisc,agea,filter
BE,12.12.2018,3,1,8,4,1,14,2
AT,12.12.2018,3,1,10,7,1,15,2
AT,12.12.2018,3,1,6,7,1,15,2
AT,12.12.2018,3,4,10,7,1,15,2
AT,12.12.2018,3,1,7,6,1,15,2
AT,12.12.2018,3,2,7,7,1,15,2
AT,12.12.2018,3,2,7,6,1,15,2
AT,12.12.2018,3,3,9,7,1,15,2
BE,12.12.2018,3,1,8,6,1,15,2
BE,12.12.2018,3,1,9,5,1,15,2
BE,12.12.2018,3,2,8,7,1,15,2
BE,12.12.2018,3,2,8,6,1,15,2
BE,12.12.2018,3,2,8,7,1,15,2
BE,12.12.2018,3,1,7,6,1,15,2
BE,12.12.2018,3,3,8,7,2,15,2
BE,12.12.2018,3,2,9,4,1,15,2
BG,12.12.2018,3,1,10,7,1,15,2
BG,12.12.2018,3,1,6,7,1,15,2
BG,12.12.2018,3,3,4,7,1,15,2
CY,12.12.2018,3,1,7,6,1,15,2
CY,12.12.2018,3,1,10,7,1,15,2
DE,12.12.2018,3,1,0,7,1,15,2
DE,12.12.2018,3,1,8,4,1,15,2
DE,12.12.2018,3,3,6,5,1,15,2
DE,12.12.2018,3,1,8,6,1,15,2
DE,12.12.2018,3,2,3,7,1,15,2
EE,12.12.2018,3,1,7,6,1,15,2
EE,12.12.2018,3,1,10,7,1,15,2
EE,12.12.2018,3,2,4,6,2,15,2
EE,12.12.2018,3,2,8,7,1,15,2
EE,12.12.2018,3,2,9,7,1,15,2
EE,12.12.2018,3,1,8,6,2,15,2
EE,12.12.2018,3,2,10,5,2,15,2
ES,12.12.2018,3,2,7,7,1,15,2
FI,12.12.2018,3,1,9,5,1,15,2
FI,12.12.2018,3,2,9,7,1,15,2
FI,12.12.2018,3,2,8,7,1,15,2
FI,12.12.2018,3,1,8,7,1,15,2
FI,12.12.2018,3,2,6,7,1,15,2
FI,12.12.2018,3,1,10,6,1,15,2
FI,12.12.2018,3,1,9,5,1,15,2
FI,12.12.2018,3,1,8,4,1,15,2
FI,12.12.2018,3,1,9,7,1,15,2
FI,12.12.2018,3,1,8,6,1,15,2
FI,12.12.2018,3,1,9,6,1,15,2
FI,12.12.2018,3,1,9,7,1,15,2
FR,12.12.2018,3,1,9,7,1,15,2
FR,12.12.2018,3,1,8,6,1,15,2
FR,12.12.2018,3,1,9,5,1,15,2
FR,12.12.2018,3,2,9,7,1,15,2
FR,12.12.2018,3,2,10,6,1,15,2
GB,12.12.2018,3,2,6,4,1,15,2
GB,12.12.2018,3,1,9,7,1,15,2
GB,12.12.2018,3,3,7,7,1,15,2
GB,12.12.2018,3,2,8,7,1,15,2
GB,12.12.2018,3,1,10,7,1,15,2
GB,12.12.2018,3,1,9,7,1,15,2
GB,12.12.2018,3,3,8,7,2,15,2
HU,12.12.2018,3,1,9,7,1,15,2
HU,12.12.2018,3,1,10,7,1,15,2
HU,12.12.2018,3,4,10,5,1,15,2
NO,12.12.2018,3,1,9,7,1,15,2
NO,12.12.2018,3,1,10,7,1,15,2
NO,12.12.2018,3,1,10,6,1,15,2
NO,12.12.2018,3,1,5,6,2,15,2
NO,12.12.2018,3,1,9,7,1,15,2
NO,12.12.2018,3,1,7,7,1,15,2
PL,12.12.2018,3,1,7,7,1,15,2
PL,12.12.2018,3,1,8,6,1,15,2
PL,12.12.2018,3,1,7,4,1,15,2
PL,12.12.2018,3,1,9,6,1,15,2
PL,12.12.2018,3,2,4,6,1,15,2
PL,12.12.2018,3,4,7,6,1,15,2
PL,12.12.2018,3,1,10,7,1,15,2
PL,12.12.2018,3,1,9,7,1,15,2
PL,12.12.2018,3,1,10,6,1,15,2
PL,12.12.2018,3,1,10,6,1,15,2
PL,12.12.2018,3,2,8,7,1,15,2
PT,12.12.2018,3,1,8,7,1,15,2
PT,12.12.2018,3,1,6,7,1,15,2
PT,12.12.2018,3,1,8,7,1,15,2
RU,12.12.2018,3,1,10,7,1,15,2
RU,12.12.2018,3,2,7,7,1,15,2
RU,12.12.2018,3,1,5,7,1,15,2
RU,12.12.2018,3,1,8,7,1,15,2
RU,12.12.2018,3,2,8,6,1,15,2
RU,12.12.2018,3,1,8,5,1,15,2
SE,12.12.2018,3,3,7,3,1,15,2
SE,12.12.2018,3,1,7,6,1,15,2
SE,12.12.2018,3,1,6,5,1,15,2
SE,12.12.2018,3,1,9,7,1,15,2
SE,12.12.2018,3,1,9,6,1,15,2
SI,12.12.2018,3,1,7,7,1,15,2
SI,12.12.2018,3,1,7,4,2,15,2
SI,12.12.2018,3,2,5,5,1,15,2
SI,12.12.2018,3,1,7,6,2,15,2
SI,12.12.2018,3,2,6,3,1,15,2
SI,12.12.2018,3,1,8,7,1,15,2
SI,12.12.2018,3,2,10,5,1,15,2
SI,12.12.2018,3,2,9,6,1,15,2
SK,12.12.2018,3,1,10,6,1,15,2
SK,12.12.2018,3,1,1,7,1,15,2
SK,12.12.2018,3,1,6,6,1,15,2
SK,12.12.2018,3,1,5,7,1,15,2
SK,12.12.2018,3,2,9,6,1,15,2
SK,12.12.2018,3,1,9,7,1,15,2
SK,12.12.2018,3,2,7,7,2,15,2
UA,12.12.2018,3,1,7,7,1,15,2
UA,12.12.2018,3,1,10,7,1,15,2
UA,12.12.2018,3,2,5,7,2,15,2
UA,12.12.2018,3,1,6,7,2,15,2
BE,12.12.2018,5,1,7,5,1,15,2
BE,12.12.2018,5,1,8,7,1,15,2
BE,12.12.2018,5,1,8,5,1,15,2
BG,12.12.2018,5,1,8,6,1,15,2
CH,12.12.2018,5,1,9,6,1,15,2
CZ,12.12.2018,5,1,6,7,1,15,2
CZ,12.12.2018,5,1,8,7,1,15,2
CZ,12.12.2018,5,1,9,7,1,15,2
DE,12.12.2018,5,1,10,7,1,15,2
DE,12.12.2018,5,1,8,4,1,15,2
DE,12.12.2018,5,2,8,2,1,15,2
DE,12.12.2018,5,1,8,6,1,15,2
DE,12.12.2018,5,1,10,6,1,15,2
DE,12.12.2018,5,1,9,6,1,15,2
DE,12.12.2018,5,1,4,7,1,15,2
DK,12.12.2018,5,1,10,7,1,15,2
DK,12.12.2018,5,1,8,7,1,15,2
DK,12.12.2018,5,1,9,7,1,15,2
DK,12.12.2018,5,1,10,7,1,15,2
DK,12.12.2018,5,1,9,7,1,15,2
DK,12.12.2018,5,1,9,6,1,15,2
DK,12.12.2018,5,1,10,7,1,15,2
DK,12.12.2018,5,1,7,7,1,15,2
EE,12.12.2018,5,1,7,7,1,15,2
EE,12.12.2018,5,1,10,4,1,15,2
EE,12.12.2018,5,1,9,6,1,15,2
ES,12.12.2018,5,1,10,7,1,15,2
FI,12.12.2018,5,1,9,6,1,15,2
FI,12.12.2018,5,1,10,7,1,15,2
FI,12.12.2018,5,1,8,7,1,15,2
FI,12.12.2018,5,1,10,6,1,15,2
FI,12.12.2018,5,1,8,6,1,15,2
FI,12.12.2018,5,1,8,7,1,15,2
FI,12.12.2018,5,1,9,7,1,15,2
FI,12.12.2018,5,1,9,7,1,15,2
FI,12.12.2018,5,1,9,7,1,15,2
FI,12.12.2018,5,1,8,7,1,15,2
FI,12.12.2018,5,1,8,5,1,15,2
FI,12.12.2018,5,1,9,6,1,15,2
FI,12.12.2018,5,1,8,4,1,15,2
FI,12.12.2018,5,1,8,7,1,15,2
FI,12.12.2018,5,1,9,7,1,15,2
FR,12.12.2018,5,2,8,7,1,15,2
FR,12.12.2018,5,1,8,7,1,15,2
FR,12.12.2018,5,1,9,6,1,15,2
FR,12.12.2018,5,1,8,7,1,15,2
FR,12.12.2018,5,1,9,6,1,15,2
FR,12.12.2018,5,3,7,4,2,15,2
FR,12.12.2018,5,1,10,5,1,15,2
GB,12.12.2018,5,1,9,7,1,15,2
GB,12.12.2018,5,1,9,6,1,15,2
GB,12.12.2018,5,1,10,4,1,15,2
GB,12.12.2018,5,1,10,7,1,15,2
GR,12.12.2018,5,1,5,6,1,15,2
GR,12.12.2018,5,1,9,6,1,15,2
HR,12.12.2018,5,1,5,7,1,15,2
HR,12.12.2018,5,1,7,7,1,15,2
HR,12.12.2018,5,1,10,7,1,15,2
HR,12.12.2018,5,1,8,7,1,15,2
IE,12.12.2018,5,1,8,6,1,15,2
IE,12.12.2018,5,1,9,7,1,15,2
IE,12.12.2018,5,1,7,7,1,15,2
IE,12.12.2018,5,1,6,5,1,15,2
IE,12.12.2018,5,2,9,7,1,15,2
IE,12.12.2018,5,3,4,4,1,15,2
IE,12.12.2018,5,1,10,7,1,15,2
IE,12.12.2018,5,1,8,6,1,15,2
