Country,Code,Lonely_None,Lonely_Some,Lonely_Most,Lonely_All,Lonely_Frequent,One_Person_Household_Frequent,Mutiple_People_Household_Frequent,Conflict_Never_Frequent,Conflict_Sometimes_Frequent,Conflict_Often_Frequent,No_Confidant_Frequent,At_Least_One_Confidant_Frequent,Native_Frequent,Immigrant_Frequent,Ethnic_Minority_Frequent,Ethnic_Majority_Frequent,Religious_Frequent,Non_Religious_Frequent,Big_City_Frequent,Suburb_Frequent,Small_City_Frequent,Countryside_Frequent,Unemployed_Past_Year_Frequent,Unemployed_Past_Month_Frequent,Unemployed_Past_Days_Frequent,Employed_Frequent,Income_Comfortable_Frequent,Income_Coping_Frequent,Income_Difficult_Frequent,Income_Very_Difficult_Frequent
Austria,AUT,73.4,20.6,4.2,1.8,6.0,9.8,4.2,4.3,7.1,15.7,30.4,5.3,,,7.8,5.9,5.9,6.2,5.9,5.2,6.7,5.9,9.5,8.0,9.6,4.4,4.8,5.7,7.7,18.8
Belgium,BEL,74.0,19.6,3.9,2.5,6.4,20.3,4.2,6.1,6.9,8.5,20.0,6.0,6.4,9.2,5.7,6.4,7.3,5.8,9.1,6.9,5.2,7.2,12.6,8.9,13.2,3.9,2.0,5.6,14.4,17.5
Switzerland,CHE,79.0,17.4,2.6,1.1,3.6,4.6,3.3,1.6,5.0,10.9,23.1,3.2,2.8,6.5,7.4,3.2,2.8,5.1,6.1,6.0,3.1,3.0,11.5,9.1,8.9,2.8,1.8,4.6,8.5,17.1
Czech Republic,CZE,59.8,29.7,7.1,3.5,10.6,25.0,9.0,8.9,15.4,18.8,22.1,11.5,,,,,13.3,10.1,10.1,15.0,10.4,10.8,15.4,11.2,9.7,9.9,6.9,8.9,12.4,25.8
Germany,DEU,79.9,16.8,2.4,0.9,3.3,8.8,2.4,3.5,2.4,8.2,13.3,3.4,4.1,8.4,8.8,3.0,3.4,3.2,4.1,3.3,3.6,2.7,7.1,5.4,9.5,2.5,1.7,3.2,9.1,17.1
Denmark,DNK,83.0,13.9,1.7,1.3,3.1,7.4,3.6,6.1,6.9,8.5,30.0,2.4,,,3.4,3.0,2.3,4.1,2.8,3.0,3.7,2.6,8.4,4.9,8.0,1.8,1.5,6.5,11.2,8.8
Estonia,EST,65.9,26.2,5.7,2.1,7.9,16.0,5.9,6.2,7.5,10.7,25.0,6.9,8.1,11.8,6.6,8.2,8.9,7.3,7.1,5.7,9.0,7.9,13.4,9.1,15.5,4.8,5.3,5.8,9.9,21.6
Spain,ESP,69.5,21.8,5.9,2.8,8.7,26.2,7.2,7.7,7.5,20.8,16.9,8.4,,,,,9.7,6.8,10.2,7.6,7.0,9.3,10.4,9.4,13.2,5.8,5.4,6.9,13.3,22.2
Fineland,FIN,81.2,15.8,1.5,1.5,3.0,7.1,1.8,2.8,2.7,5.4,10.0,2.9,,,,,3.7,2.3,3.1,3.9,2.4,3.0,5.1,3.9,3.4,1.3,1.7,2.9,5.3,10.4
France,FRA,68.3,23.3,5.2,3.1,8.4,22.3,6.7,8.0,8.5,18.3,25.1,10.4,12.1,14.3,13.3,8.0,9.0,7.8,11.0,7.6,10.4,5.9,14.9,11.1,17.9,5.4,5.6,6.7,14.9,41.0
