cntry,fltlnl,fltlnla,happy,sclmeet,health,agea,hhmmb,gndr,dngval,nhpftr,lfwrs,flclpla
AT,1,,10,7,1,30,4,2,1,2,8,1
AT,2,,9,6,1,23,4,2,1,3,2,1
AT,8,,10,7,1,34,1,1,1,3,4,1
AT,2,,10,6,1,29,3,1,3,3,4,5
AT,8,,8,6,1,49,2,2,8,8,8,8
AT,3,,8,6,1,17,2,1,2,4,5,2
AT,2,,10,6,1,42,2,2,2,5,4,3
AT,3,,88,7,1,28,1,1,2,4,4,2
AT,1,,6,6,1,62,2,2,1,1,3,3
AT,4,,7,5,1,30,1,1,2,4,4,3
AT,4,,9,6,1,40,4,2,2,3,3,1
AT,1,,10,7,1,68,2,2,1,5,3,1
AT,1,,9,5,1,31,1,2,1,5,1,1
AT,2,,8,4,1,40,3,1,1,3,8,2
AT,1,,5,4,1,46,3,2,2,4,2,3
AT,2,,9,7,1,16,3,2,3,5,8,4
AT,2,,10,7,1,46,3,1,2,3,2,3
AT,1,,10,6,1,69,2,2,2,3,2,3
AT,1,,6,1,1,20,1,2,1,3,3,3
AT,1,,6,6,1,24,4,1,8,4,2,3
AT,2,,3,7,1,20,7,2,1,2,3,1
AT,1,,8,5,1,49,1,2,2,5,2,4
AT,1,,8,7,1,20,5,2,2,2,3,3
AT,1,,9,6,1,24,1,2,1,5,3,2
AT,1,,9,7,1,45,4,1,2,4,3,3
AT,1,,10,7,1,76,2,2,2,5,4,1
AT,1,,9,6,1,33,2,1,2,4,2,3
AT,1,,8,6,1,60,2,1,2,2,1,2
AT,1,,9,5,1,66,2,2,2,3,3,2
AT,1,,10,7,1,16,4,1,1,3,2,2
AT,1,,8,2,1,31,4,2,2,2,1,3
AT,2,,9,7,1,16,4,1,1,4,1,2
AT,1,,9,7,1,21,4,2,1,4,4,1
AT,1,,7,6,1,19,3,2,2,3,8,2
AT,4,,9,4,1,72,2,1,1,5,3,4
AT,1,,8,6,1,36,4,1,2,4,3,2
AT,1,,5,6,1,45,4,2,1,2,2,3
AT,1,,10,4,1,42,3,1,1,4,2,3
AT,2,,7,6,1,29,4,2,1,5,2,8
AT,2,,7,6,1,60,1,2,3,2,3,4
AT,1,,9,7,1,39,3,2,2,3,2,3
AT,1,,9,7,1,16,4,1,3,2,3,1
BE,1,,8,6,1,45,2,1,2,4,3,2
BE,1,,8,7,1,20,4,1,2,3,2,2
BE,1,,8,3,1,27,4,2,1,1,2,3
BE,1,,7,7,1,21,7,1,2,4,3,2
BE,1,,8,6,1,25,1,2,2,3,2,4
BE,1,,8,6,1,16,2,1,2,1,2,3
BE,1,,10,7,1,45,4,1,2,1,2,1
BE,2,,9,6,1,35,3,2,1,3,2,3
BE,1,,7,6,1,35,4,1,2,4,3,4
BE,1,,7,6,1,62,1,1,1,4,4,2
BE,1,,10,7,1,29,1,2,1,4,3,1
BE,1,,10,6,1,30,2,1,2,3,2,3
BE,1,,7,3,1,49,3,1,3,2,2,4
BE,3,,6,4,1,33,3,1,2,1,1,5
BE,1,,8,7,1,21,4,1,2,2,3,2
BE,2,,8,6,1,19,4,1,3,4,4,4
BE,1,,9,7,1,38,2,2,1,2,1,3
BE,1,,8,5,1,39,3,2,2,2,2,3
BE,2,,8,7,1,31,3,1,2,3,2,2
BE,1,,9,6,1,44,4,2,2,3,3,1
BE,1,,7,7,1,42,5,1,2,4,3,4
BE,1,,8,7,1,27,2,2,2,2,4,5
BE,1,,9,5,1,48,4,2,2,3,3,1
BE,1,,8,5,1,29,2,1,3,4,4,4
BE,1,,9,6,1,22,5,1,2,4,4,2
BE,1,,8,6,1,29,3,2,3,3,3,2
BE,1,,8,2,1,49,4,2,2,4,3,4
BE,1,,9,7,1,41,2,1,1,3,3,3
